Geography,Estimate; Median value (dollars),Year
Prince Edward,151500,2015
Prince George,207500,2015
Prince William,333100,2015
Pulaski,135700,2015
Rappahannock,367000,2015
Richmond,150000,2015
Roanoke,189200,2015
Rockbridge,188500,2015
Rockingham,197300,2015
Russell,96000,2015
Scott,91900,2015
Shenandoah,198900,2015
Smyth,88900,2015
Southampton,159700,2015
Spotsylvania,248300,2015
Stafford,305300,2015
Surry,169000,2015
Sussex,140400,2015
Tazewell,91400,2015
Warren,213500,2015
Washington,130200,2015
Westmoreland,191600,2015
Wise,87500,2015
Wythe,123900,2015
York,312600,2015
Alexandria city,502500,2015
Bristol city,114500,2015
Buena Vista city,115000,2015
Charlottesville city,285300,2015
Chesapeake city,253800,2015
Colonial Heights city,169300,2015
Covington city,68600,2015
Danville city,88600,2015
Emporia city,115000,2015
Fairfax city,470300,2015
Falls Church city,718900,2015
Franklin city,178700,2015
Fredericksburg city,317900,2015
Galax city,91000,2015
Hampton city,188000,2015
Harrisonburg city,199400,2015
Hopewell city,123800,2015
Lexington city,242700,2015
Lynchburg city,149200,2015
Manassas city,276700,2015
Manassas Park city,248300,2015
Martinsville city,89100,2015
Newport News city,193100,2015
Norfolk city,193400,2015
Norton city,91600,2015
Petersburg city,111900,2015
Poquoson city,307800,2015
Portsmouth city,169800,2015
Radford city,148600,2015
Richmond city,193700,2015
Roanoke city,134400,2015
Salem city,173100,2015
Staunton city,165400,2015
Suffolk city,235300,2015
Virginia Beach city,259900,2015
Waynesboro city,156200,2015
Williamsburg city,320600,2015
Winchester city,216300,2015
Accomack,151900,2016
Albemarle,317300,2016
Alleghany,111500,2016
Amelia,171500,2016
Amherst,149400,2016
Appomattox,149600,2016
Arlington,623300,2016
Augusta,199700,2016
Bath,146400,2016
Bedford,196900,2016
Bland,102200,2016
Botetourt,209700,2016
Brunswick,109100,2016
Buchanan,70500,2016
Buckingham,123800,2016
Campbell,152600,2016
Caroline,189000,2016
Carroll,109400,2016
Charles City,163400,2016
Charlotte,99900,2016
Chesterfield,218700,2016
Clarke,333000,2016
Craig,153700,2016
Culpeper,255000,2016
Cumberland,139900,2016
Dickenson,72700,2016
Dinwiddie,153800,2016
Essex,166200,2016
Fairfax,516800,2016
Fauquier,363800,2016
Floyd,153700,2016
Fluvanna,222500,2016
Franklin,167900,2016
Frederick,231400,2016
Giles,105300,2016
Gloucester,225100,2016
Goochland,302600,2016
Grayson,91500,2016
Greene,241000,2016
Greensville,95900,2016
Halifax,109200,2016
Hanover,258900,2016
Henrico,216400,2016
Henry,95500,2016
Highland,160800,2016
Isle of Wight,244600,2016
James City,318700,2016
King and Queen,170000,2016
King George,288000,2016
King William,200100,2016
Lancaster,227000,2016
Lee,78600,2016
Loudoun,462100,2016
