Geography,Year,EmploymentPopulationRatio
Powhatan,2016,56.2
Prince Edward,2016,46.2
Prince George,2016,47.6
Prince William,2016,67.9
Pulaski,2016,53.7
Rappahannock,2016,56.6
Richmond,2016,41.7
Roanoke,2016,59.5
Rockbridge,2016,53.8
Rockingham,2016,60.6
Russell,2016,45.5
Scott,2016,45.1
Shenandoah,2016,57.7
Smyth,2016,49.4
Southampton,2016,51.5
Spotsylvania,2016,63.6
Stafford,2016,61.5
Surry,2016,56.0
Sussex,2016,27.0
Tazewell,2016,44.9
Warren,2016,60.0
Washington,2016,53.3
Westmoreland,2016,52.2
Wise,2016,41.5
Wythe,2016,53.2
York,2016,57.1
Alexandria city,2016,73.9
Bristol city,2016,53.5
Buena Vista city,2016,53.2
Charlottesville city,2016,61.4
Chesapeake city,2016,58.9
Colonial Heights city,2016,55.7
Covington city,2016,48.1
Danville city,2016,49.4
Emporia city,2016,44.3
Fairfax city,2016,64.7
Falls Church city,2016,72.9
Franklin city,2016,53.2
Fredericksburg city,2016,61.8
Galax city,2016,51.9
Hampton city,2016,55.6
Harrisonburg city,2016,56.5
Hopewell city,2016,54.2
Lexington city,2016,34.3
Lynchburg city,2016,54.1
Manassas city,2016,69.9
Manassas Park city,2016,68.3
Martinsville city,2016,49.5
Newport News city,2016,57.6
Norfolk city,2016,51.1
Norton city,2016,53.8
Petersburg city,2016,49.8
Poquoson city,2016,62.8
Portsmouth city,2016,55.1
Radford city,2016,46.0
Richmond city,2016,59.4
Roanoke city,2016,59.1
Salem city,2016,58.9
Staunton city,2016,56.3
Suffolk city,2016,59.4
Virginia Beach city,2016,60.6
Waynesboro city,2016,58.4
Williamsburg city,2016,44.8
Winchester city,2016,58.9
Accomack,2017,51.7
Albemarle,2017,59.1
Alleghany,2017,48.2
Amelia,2017,59.6
Amherst,2017,55.0
Appomattox,2017,55.2
Arlington,2017,74.3
Augusta,2017,56.8
Bath,2017,57.9
Bedford,2017,58.0
Bland,2017,45.8
Botetourt,2017,58.7
Brunswick,2017,45.2
Buchanan,2017,35.0
Buckingham,2017,46.3
